# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
ops.notify_well_owners(p_well_id uuid, p_type text, p_message text, p_session_id uuid)|integer|volatile|definer|search_path=ops, core, pg_temp
ops.open_shift(p_well_id uuid, p_operator_profile_id uuid)|uuid|volatile|definer|search_path=ops, core, finance, pg_temp
ops.operator_totals(p_profile_id uuid, p_well_id uuid)|jsonb|stable|definer|search_path=ops, billing, finance, pg_temp
ops.pause_irrigation_session(p_session_id uuid, p_reason text, p_paused_at timestamp with time zone)|uuid|volatile|definer|search_path=ops, core, iam, pg_temp
ops.prevent_parallel_sessions_on_pump()|trigger|volatile|definer|search_path=ops, pg_temp
ops.prevent_second_open_shift()|trigger|volatile|invoker|-
ops.read_active_price_schedule(p_well_id uuid, p_at timestamp with time zone)|jsonb|stable|definer|search_path=pg_catalog, pg_temp
ops.request_session_transfer(p_session_id uuid, p_from_shift_id uuid, p_to_profile_id uuid, p_collection_right text, p_note text)|uuid|volatile|definer|search_path=ops, core, pg_temp
ops.reschedule_booking(p_booking_id uuid, p_scheduled_start timestamp with time zone, p_scheduled_end timestamp with time zone, p_reason text)|jsonb|volatile|definer|search_path=ops, core, audit, iam, pg_temp
ops.reserve_resource(p_well_id uuid, p_resource_type text, p_resource_id uuid, p_reserved_period tstzrange, p_booking_id uuid, p_session_id uuid)|uuid|volatile|definer|search_path=ops, core, pg_temp
ops.respond_session_transfer(p_transfer_id uuid, p_accept boolean, p_to_shift_id uuid)|text|volatile|definer|search_path=ops, pg_temp
ops.resume_irrigation_session(p_session_id uuid, p_resumed_at timestamp with time zone)|uuid|volatile|definer|search_path=ops, core, iam, pg_temp
ops.send_daily_summaries(p_day date)|jsonb|volatile|definer|search_path=ops, reporting, core, iam, auth, pg_temp
ops.settle_handover(p_handover_id uuid, p_settled_by uuid)|text|volatile|definer|search_path=ops, pg_temp
ops.shift_report(p_shift_id uuid)|jsonb|stable|definer|search_path=ops, billing, finance, iam, pg_temp
ops.start_irrigation_session(p_well_id uuid, p_pump_id uuid, p_farm_id uuid, p_farmer_well_account_id uuid, p_operator_profile_id uuid, p_energy_source text, p_started_at timestamp with time zone, p_fuel_owner_person_id uuid)|uuid|volatile|definer|search_path=ops, core, billing, iam, pg_temp
ops.validate_session_segment_overlap()|trigger|volatile|invoker|-
public.cash_dist(money, money)|money|immutable|invoker|-
public.citext(boolean)|citext|immutable|invoker|-
public.citext(character)|citext|immutable|invoker|-
public.citext(inet)|citext|immutable|invoker|-
public.citext_cmp(citext, citext)|integer|immutable|invoker|-
public.citext_eq(citext, citext)|boolean|immutable|invoker|-
public.citext_ge(citext, citext)|boolean|immutable|invoker|-
public.citext_gt(citext, citext)|boolean|immutable|invoker|-
public.citext_hash(citext)|integer|immutable|invoker|-
public.citext_hash_extended(citext, bigint)|bigint|immutable|invoker|-
public.citext_larger(citext, citext)|citext|immutable|invoker|-
public.citext_le(citext, citext)|boolean|immutable|invoker|-
public.citext_lt(citext, citext)|boolean|immutable|invoker|-
public.citext_ne(citext, citext)|boolean|immutable|invoker|-
public.citext_pattern_cmp(citext, citext)|integer|immutable|invoker|-
public.citext_pattern_ge(citext, citext)|boolean|immutable|invoker|-
public.citext_pattern_gt(citext, citext)|boolean|immutable|invoker|-
public.citext_pattern_le(citext, citext)|boolean|immutable|invoker|-
public.citext_pattern_lt(citext, citext)|boolean|immutable|invoker|-
public.citext_smaller(citext, citext)|citext|immutable|invoker|-
public.citextin(cstring)|citext|immutable|invoker|-
public.citextout(citext)|cstring|immutable|invoker|-
public.citextrecv(internal)|citext|stable|invoker|-
public.citextsend(citext)|bytea|stable|invoker|-
public.date_dist(date, date)|integer|immutable|invoker|-
public.float4_dist(real, real)|real|immutable|invoker|-
public.float8_dist(double precision, double precision)|double precision|immutable|invoker|-
public.gbt_bit_compress(internal)|internal|immutable|invoker|-
public.gbt_bit_consistent(internal, bit, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_bit_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_bit_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_bit_same(gbtreekey_var, gbtreekey_var, internal)|internal|immutable|invoker|-
public.gbt_bit_union(internal, internal)|gbtreekey_var|immutable|invoker|-
public.gbt_bool_compress(internal)|internal|immutable|invoker|-
public.gbt_bool_consistent(internal, boolean, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_bool_fetch(internal)|internal|immutable|invoker|-
public.gbt_bool_penalty(internal, internal, internal)|internal|immutable|invoker|-
public.gbt_bool_picksplit(internal, internal)|internal|immutable|invoker|-
public.gbt_bool_same(gbtreekey2, gbtreekey2, internal)|internal|immutable|invoker|-
public.gbt_bool_union(internal, internal)|gbtreekey2|immutable|invoker|-
public.gbt_bpchar_compress(internal)|internal|immutable|invoker|-
public.gbt_bpchar_consistent(internal, character, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_bytea_compress(internal)|internal|immutable|invoker|-
public.gbt_bytea_consistent(internal, bytea, smallint, oid, internal)|boolean|immutable|invoker|-
public.gbt_bytea_penalty(internal, internal, internal)|internal|immutable|invoker|-
