# schema.table|column|type|nullability|default
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
finance.expense_approvals|expense_id|uuid|NOT NULL|-
finance.expense_approvals|approver_profile_id|uuid|NOT NULL|-
finance.expense_approvals|decision|text|NOT NULL|-
finance.expense_approvals|note|text|null|-
finance.expense_approvals|decided_at|timestamp with time zone|NOT NULL|now()
finance.expense_categories|id|uuid|NOT NULL|gen_random_uuid()
finance.expense_categories|tenant_id|uuid|NOT NULL|-
finance.expense_categories|code|text|NOT NULL|-
finance.expense_categories|name_ar|text|NOT NULL|-
finance.expense_categories|ledger_account_code|text|null|-
finance.expense_categories|requires_approval|boolean|NOT NULL|false
finance.expense_categories|attachment_required|boolean|NOT NULL|true
finance.expense_categories|sort_order|integer|NOT NULL|0
finance.expense_categories|is_active|boolean|NOT NULL|true
finance.expense_categories|created_at|timestamp with time zone|NOT NULL|now()
finance.expenses|id|uuid|NOT NULL|gen_random_uuid()
finance.expenses|tenant_id|uuid|NOT NULL|-
finance.expenses|well_id|uuid|NOT NULL|-
finance.expenses|public_code|text|null|core.generate_public_code('EXP'::text)
finance.expenses|category_id|uuid|null|-
finance.expenses|amount_minor|bigint|NOT NULL|-
finance.expenses|description|text|NOT NULL|-
finance.expenses|spent_at|timestamp with time zone|NOT NULL|now()
finance.expenses|payment_source|text|NOT NULL|'cashbox'::text
finance.expenses|cashbox_id|uuid|null|-
finance.expenses|shift_id|uuid|null|-
finance.expenses|created_by|uuid|null|-
finance.expenses|attachment_url|text|null|-
finance.expenses|attachment_skipped|boolean|NOT NULL|false
finance.expenses|attachment_skip_reason|text|null|-
finance.expenses|status|text|NOT NULL|'posted'::text
finance.expenses|journal_entry_id|uuid|null|-
finance.expenses|note|text|null|-
finance.expenses|created_at|timestamp with time zone|NOT NULL|now()
finance.expenses|partner_id|uuid|null|-
finance.expenses|settled_in_cycle_id|uuid|null|-
finance.journal_entries|id|uuid|NOT NULL|gen_random_uuid()
finance.journal_entries|tenant_id|uuid|NOT NULL|-
finance.journal_entries|public_code|text|NOT NULL|-
finance.journal_entries|well_id|uuid|NOT NULL|-
finance.journal_entries|entry_date|timestamp with time zone|NOT NULL|-
